Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
02007Q	M.	Bergelin	Christian	ANCIEN	15/04/1945	26/03/2008	Les Républicains		commission des affaires sociales	Haute-Saône			Autres personnes sans activité professionnelle	Sans profession déclarée	Transporteur
08055A	M.	Bérit-Débat	Claude	ACTIF	19/02/1946		SOCR		commission de l'aménagement du territoire et du développement durable	Dordogne		c.berit-debat@senat.fr	Cadres d'entreprise	Salariés (Retraités)	Cadre de CCI 
92009R	M.	Bernadaux	Jean	ANCIEN	23/02/1935		UC		commission de la culture	Meurthe-et-Moselle			Anciens cadres	Enseignement (Retraités)	Directeur d'école honoraire
92010J	M.	Bernard	Jean	ANCIEN	17/10/1924	21/11/2007	RPR		commission des affaires étrangères	Marne		Non public	Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
59583C	M.	Bernard	Roland	ANCIEN	11/10/1944	06/05/2009	SOCR		commission des affaires étrangères	Rhône			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Universitaire
89020L	M.	Bernardet	Daniel	ANCIEN	07/06/1927	21/11/2007	Les Républicains		commission des affaires sociales	Indre		d.bernardet@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Conseiller en gestion
07003H	M.	Bernard-Reymond	Pierre	ANCIEN	16/01/1944		NI		commission des affaires étrangères	Hautes-Alpes		senateur.pbr@orange.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
000340	M.	Bernier	Lucien	ANCIEN	27/05/1914	05/04/1989	SOCR		commission des affaires sociales	Guadeloupe	Secrétaire du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000353	M.	Berrier	Noël	ANCIEN	24/12/1914	18/12/1986	SOCR		commission des affaires étrangères	Nièvre			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
11068S	M.	Berson	Michel	ANCIEN	21/04/1945		LaREM		commission des finances	Essonne		m.berson@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Cadre dans le secteur bancaire
04098U	M.	Bertaud	Claude	ANCIEN	01/11/1945		Les Républicains		commission de l'économie	Vienne			Instituteurs et assimilés	Enseignement (Retraités)	Enseignant retraité
000701	M.	Bertaud	Jean	ANCIEN	09/09/1898	08/03/1987	RPR		commission de l'économie	Val-de-Marne			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Inspecteur honoraire de la SNCF
19575F	Mme	Berthet	Martine	ACTIF	27/03/1961		Les Républicains		commission des affaires sociales	Savoie		m.berthet@senat.fr	Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacienne
000711	M.	Berthoin	Jean	ANCIEN	12/01/1895	25/02/1979	G.D.		commission des affaires étrangères	Isère			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ancien secrétaire général du ministère de l'intérieur, ancien payeur général de la Seine
08059E	M.	Berthou	Jacques	ANCIEN	03/03/1940		SOCR	Apparenté	commission des affaires étrangères	Ain		j.berthou@senat.fr	Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur EDF
11081P	M.	Bertrand	Alain	ACTIF	23/02/1951		RDSE		commission des affaires économiques	Lozère		a.bertrand@senat.fr	Cadres de la fonction publique	Fonctionnaires (Retraités)	Inspecteur des domaines
14115H	Mme	Bertrand	Anne-Marie	ACTIF	27/11/1942		Les Républicains		commission des affaires économiques	Bouches-du-Rhône		am.bertrand@senat.fr	Agriculteurs exploitants	Professions agricoles	Exploitante agricole
000113	M.	Bertrand	Marcel	ANCIEN	06/11/1904	19/09/1961	SOCR		commission de la culture	Nord			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
58911T	M.	Besse	Guy	ANCIEN	14/04/1926	17/12/2017	R.D.E.		commission des affaires sociales	Indre			Artisans	Commerce et industrie (Artisans)	Artisan
89010J	M.	Besse	Roger	ANCIEN	18/08/1929	07/01/2009	Les Républicains		commission des finances	Cantal		r.besse@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Retraités)	Commerçant (retraité)
89015P	M.	Besson	Jean	ANCIEN	01/07/1948		SOCR		commission des affaires étrangères	Drôme		besson.jean@wanadoo.fr	Professions libérales	Professions judiciaires et libérales (Divers)	Agent d'assurances
000682	M.	Besson	Roger	ANCIEN	02/12/1888	23/11/1970	SOCR		commission de la culture	Allier			Agriculteurs exploitants	Professions agricoles	Agriculteur
01001E	M.	Béteille	Laurent	ANCIEN	19/04/1948		Les Républicains		commission des lois	Essonne		l.beteille@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000036	M.	Bethouart	Antoine	ANCIEN	17/12/1889	17/10/1982	U.C.D.P.		commission des affaires étrangères	Français établis hors de France			Policiers et militaires	Fonctionnaires (Militaires)	Militaire (Général d'armée)
59522N	M.	Bettencourt	André	ANCIEN	21/04/1919	19/11/2007	RI		commission des affaires étrangères	Seine-Maritime			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
79002D	M.	Bialski	Jacques	ANCIEN	03/10/1929	10/06/2013	SOCR		commission des affaires sociales	Nord	Questeur du Sénat		Cadres d'entreprise	Salariés (Cadres divers)	Cadre
89021M	M.	Biarnès	Pierre	ANCIEN	17/01/1932		CRCE	Rattaché	commission des affaires étrangères	Français établis hors de France		p.biarnes@senat.fr	Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
78007E	Mme	Bidard-Reydet	Danielle	ANCIEN	08/12/1939		CRCE		commission des affaires étrangères	Seine-Saint-Denis		Non public	Instituteurs et assimilés	Enseignement secondaire	Agrégée de l'Université
14093U	M.	Bignon	Jérôme	ACTIF	01/01/1949		Les Indépendants		commission de l'aménagement du territoire et du développement durable	Somme		jerome@bignon.info	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
14065Q	M.	Bigot	Jacques	ACTIF	31/07/1952		SOCR		commission des lois	Bas-Rhin		jacques.bigot@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19549D	M.	Bigot	Joël	ACTIF	05/02/1949		SOCR		commission de l'aménagement du territoire et du développement durable	Maine-et-Loire		joel.bigot@senat.fr	Retraités	Enseignement (Retraités)	Ancien enseignant
95010W	M.	Billard	Claude	ANCIEN	27/10/1941		CRCE		commission de l'économie	Val-de-Marne			Ouvriers	Salariés (Ouvriers)	Monteur-câbleur
01064V	M.	Billard	Joël	ANCIEN	21/03/1953		Les Républicains		commission de l'aménagement du territoire et du développement durable	Eure-et-Loir		j.billard@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Divers)	Comptable
58328J	M.	Billeres	René	ANCIEN	29/08/1910	02/10/2004	G.D.S.R.G.		commission de la culture	Hautes-Pyrénées			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Enseignement supérieur
000083	M.	Billiemaz	Auguste	ANCIEN	29/08/1903	25/04/1983	G.D.S.R.G.		commission de l'économie	Ain	Secrétaire du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
14030Q	Mme	Billon	Annick	ACTIF	03/08/1967		UC		commission de la culture	Vendée		a.billon@senat.fr	Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Cadre commercial
04054G	M.	Billout	Michel	ANCIEN	19/02/1958		CRCE		commission des affaires étrangères	Seine-et-Marne		m.billout@senat.fr	Instituteurs et assimilés	Enseignement primaire	Professeur des écoles
86005Y	M.	Bimbenet	Jacques	ANCIEN	02/07/1928	17/05/2018	RDSE		commission des affaires sociales	Loir-et-Cher		Non public	Professions libérales	Professions judiciaires et libérales (Divers)	Agent d'assurances
01049W	M.	Biwer	Claude	ANCIEN	15/05/1936		UC		commission de l'économie	Meuse			Autres personnes sans activité professionnelle	Professions agricoles	Agriculteur
96004D	M.	Bizet	Jean	ACTIF	30/08/1947		Les Républicains		commission des finances	Manche		j.bizet@senat.fr	Vétérinaires (libéraux ou salariés)	Professions judiciaires et libérales (Retraités)	Docteur vétérinaire 
89012L	M.	Blaizot	François	ANCIEN	21/09/1923	17/07/2007	UC		commission des lois	Charente-Maritime			Anciens cadres	Fonctionnaires (Retraités)	Ingénieur général du génie rural en retraite
01005J	M.	Blanc	Jacques	ANCIEN	21/10/1939		Les Républicains		commission des affaires étrangères	Lozère		jacques.blanc@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin neuro-psychiatre
59567C	M.	Blanc	Jean-Pierre	ANCIEN	11/09/1920	29/09/2004	UC		commission de la culture	Savoie			Agriculteurs exploitants	Professions agricoles	Maraîcher
92011K	M.	Blanc	Paul	ANCIEN	29/01/1937		Les Républicains		commission des affaires sociales	Pyrénées-Orientales		senateur.paul.blanc@wanadoo.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
57426F	M.	Blanchet	Jean-Pierre	ANCIEN	28/02/1914	29/07/2000	NI		commission des affaires sociales	Loire	Secrétaire du Sénat		Chirurgiens-dentistes (libéraux ou salariés)	Professions médicales (Dentistes)	Chirurgien-dentiste
01044R	Mme	Blandin	Marie-Christine	ANCIEN	22/09/1952		NI		commission de la culture	Nord		mc.blandin@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Professeur de biologie
71003U	M.	Blin	Maurice	ANCIEN	28/08/1922	16/06/2016	UC		commission des finances	Ardennes		m.blin@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Universitaire
000165	M.	Blondelle	René	ANCIEN	13/06/1907	25/02/1971	CRARS		commission de l'économie	Aisne			Agriculteurs exploitants	Professions agricoles	Agriculteur
08043V	Mme	Blondin	Maryvonne	ACTIF	20/01/1947		SOCR		commission de la culture	Finistère		m.blondin@senat.fr	Professeurs, professions scientifiques	Enseignement (Retraités)	Enseignante
95014B	Mme	Bocandé	Annick	ANCIEN	23/04/1946		UC		commission des affaires sociales	Seine-Maritime	Secrétaire du Sénat		Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
04040A	M.	Bockel	Jean-Marie	ACTIF	22/06/1950		UC		commission des affaires étrangères	Haut-Rhin		jm.bockel@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
11040E	M.	Bocquet	Éric	ACTIF	08/11/1957		CRCE		commission des finances	Nord	Secrétaire du Sénat	e.bocquet@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Professeur
04052E	M.	Bodin	Yannick	ANCIEN	08/08/1942		SOCR		commission de la culture	Seine-et-Marne		y.bodin@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur de collège
000634	M.	Boeuf	Marc	ANCIEN	08/01/1934	27/08/1993	SOCR		commission des affaires sociales	Gironde			Cadres d'entreprise	Salariés (Cadres divers)	Directeur de la Mutuelle Générale de l'Education Nationale
74013K	M.	Bohl	André	ANCIEN	26/01/1936		UC		commission de la culture	Moselle		Non public	Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur commercial
59218H	M.	Boileau	Roger	ANCIEN	01/06/1914	12/09/2001	UC		commission de la culture	Meurthe-et-Moselle			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
000176	M.	Boin	Raymond	ANCIEN	20/02/1908	19/05/1987	G.D.		commission des affaires étrangères	Haute-Marne	Secrétaire du Sénat		Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000761	M.	Boisrond	Jacques	ANCIEN	27/02/1891	03/10/1961	RI		commission de la culture	Loir-et-Cher			Professions libérales	Professions judiciaires et libérales (Divers)	Administrateur d'immeubles
58920U	M.	Bonduel	Stéphane	ANCIEN	30/11/1919		R.D.E.		commission des finances	Charente-Maritime			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin 
19367Y	Mme	Bonfanti-Dossat	Christine	ACTIF	25/05/1956		Les Républicains		commission des affaires sociales	Lot-et-Garonne		c.bonfanti-dossat@senat.fr	Professions intermédiaires de la santé et du travail social	Professions médicales (Autres)	Infirmière libérale
14069U	M.	Bonhomme	François	ACTIF	05/05/1969		Les Républicains	Apparenté	commission des lois	Tarn-et-Garonne		f.bonhomme@senat.fr	Autres personnes sans activité professionnelle	Autres professions	Fonctionnaire
58921V	M.	Bonifay	Charles	ANCIEN	19/07/1919	28/01/2017	SOCR		commission des affaires sociales	Bouches-du-Rhône	Secrétaire du Sénat		Anciens cadres et professions liberales	Salariés (Retraités)	Directeur Honoraire de l'URSSAF des Bouches-du-Rhône
19415P	M.	Bonne	Bernard	ACTIF	18/09/1948		Les Républicains		commission des affaires sociales	Loire		b.bonne@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
14089Y	M.	Bonnecarrère	Philippe	ACTIF	12/07/1955		UC		commission des lois	Tarn		p.bonnecarrere@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
58619S	M.	Bonnefous	Edouard	ANCIEN	24/08/1907	24/02/2007	G.D.		commission des finances	Yvelines			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur à l'Institut des hautes études internationales
000696	M.	Bonnefous	Raymond	ANCIEN	08/05/1893	05/07/1979	RI		commission des lois	Aveyron			Medecins libéraux généralistes	Professions médicales (Chirurgiens)	Chirurgien
08060W	Mme	Bonnefoy	Nicole	ACTIF	11/08/1958		SOCR		commission de l'aménagement du territoire et du développement durable	Charente		n.bonnefoy@senat.fr	Cadres et Professions intellectuelles supérieures	Autres professions	Attachée parlementaire
83016P	M.	Bonnet	Christian	ANCIEN	14/06/1921		RI		commission des lois	Morbihan		Non public	Cadres d'entreprise	Salariés (Cadres divers)	Directeur de société
58041V	M.	Bonnet	Eugène	ANCIEN	20/04/1922	17/07/2003	U.R.E.I.	Apparenté	commission des affaires étrangères	Haute-Garonne			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Divers)	Fonctionnaire
000160	M.	Bonnet	Georges	ANCIEN	15/02/1907	25/06/1973	RI		commission de l'économie	Lozère			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Chef de service à l'Electricité de France
83017Q	M.	Bony	Marcel	ANCIEN	06/07/1926	02/09/2010	SOCR		commission de l'économie	Puy-de-Dôme			Agriculteurs exploitants	Professions agricoles	Agriculteur
13003V	Mme	Boog	Françoise	ANCIEN	02/08/1960		Les Républicains		commission des affaires sociales	Haut-Rhin		f.boog@senat.fr	Autres personnes sans activité professionnelle	Salariés (Employés)	Secrétaire médicale
92012L	M.	Bordas	James	ANCIEN	20/08/1929		RI		commission de la culture	Indre-et-Loire			Anciens cadres	Fonctionnaires (Retraités)	Inspecteur central du Trésor (Retraité)
14002L	Mme	Bordas	Patricia	ANCIEN	05/06/1956		SOCR		commission des affaires sociales	Corrèze		p.bordas@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
000198	M.	Bordeneuve	Jacques	ANCIEN	28/08/1908	03/01/1981	G.D.		commission de la culture	Lot-et-Garonne			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
04073K	M.	Bordier	Pierre	ANCIEN	21/06/1945		Les Républicains		commission de la culture	Yonne		p.bordier@senat.fr	Anciens cadres et professions liberales	Professions médicales (Vétérinaires)	Docteur vétérinaire
19733B	Mme	Bories	Pascale	ACTIF	01/04/1969		Les Républicains		commission de l'aménagement du territoire et du développement durable	Gard		p.bories@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérante de société
92013M	M.	Borotra	Didier	ANCIEN	30/08/1937		UC		commission des affaires étrangères	Pyrénées-Atlantiques		d.borotra@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
95011X	Mme	Borvo Cohen-Seat	Nicole	ANCIEN	08/12/1945		CRCE		commission des lois	Paris		n.borvo@senat.fr	Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Attachée principale d'administration
000099	M.	Boscary-Monsservin	Roland	ANCIEN	12/05/1904	13/11/1988	U.R.E.I.		commission des finances	Aveyron			Avocats	Professions judiciaires et libérales (Avocats)	Avocat, agriculteur
14013P	M.	Bosino	Jean-Pierre	ANCIEN	15/01/1959		CRCE		commission des affaires économiques	Oise		jp.bosino@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
58654V	M.	Bosson	Charles	ANCIEN	02/08/1908	14/12/2001	UC		commission des affaires étrangères	Haute-Savoie			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000081	M.	Bossus	Raymond	ANCIEN	25/07/1903	06/02/1981	C		commission des affaires sociales	Paris			Ouvriers	Salariés (Ouvriers)	Ouvrier du bâtiment
08014Q	M.	Botrel	Yannick	ACTIF	09/12/1951		SOCR		commission des finances	Côtes-d'Armor		y.botrel@senat.fr	Agriculteurs exploitants	Autres professions	Aviculteur
11060J	Mme	Bouchart	Natacha	ANCIEN	29/05/1963		Les Républicains		commission de l'aménagement du territoire et du développement durable	Pas-de-Calais		n.bouchart@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Directrice des ressources humaines
